,reads,umis
PZ-TChIC-K562-SC-H3K27me3-CT_213,33919,33919
PZ-TChIC-K562-SC-H3K27me3-CT_220,6567,6567
PZ-TChIC-K562-SC-H3K27me3-CT_45,51351,51351
PZ-TChIC-K562-SC-H3K27me3-C_141,27261,27261
PZ-TChIC-K562-SC-H3K27me3-CT_123,83976,83976
PZ-TChIC-K562-SC-H3K27me3-C_227,23035,23035
PZ-TChIC-K562-SC-H3K27me3-CT_278,42205,42205
PZ-TChIC-K562-SC-H3K27me3-CT_114,56451,56451
PZ-TChIC-K562-SC-H3K27me3-CT_113,38059,38059
PZ-TChIC-K562-SC-H3K27me3-CT_53,11605,11605
PZ-TChIC-K562-SC-H3K27me3-C_248,21540,21540
PZ-TChIC-K562-SC-H3K27me3-C_357,11066,11066
PZ-MB-TChIC-K562-H3K4me3-C_143,119648,119648
PZ-TChIC-K562-SC-H3K27me3-CT_115,20088,20088
PZ-TChIC-K562-SC-H3K27me3-CT_9,78431,78431
PZ-TChIC-K562-SC-H3K27me3-CT_285,75233,75233
PZ-MB-TChIC-K562-H3K4me3-C_17,46531,46531
PZ-TChIC-K562-SC-H3K27me3-C_378,19053,19053
PZ-TChIC-K562-SC-H3K27me3-CT_54,24115,24115
PZ-TChIC-K562-SC-H3K27me3-CT_68,25675,25675
PZ-MB-TChIC-K562-H3K4me3-T_379,3851,3851
PZ-MB-TChIC-K562-H3K4me3-T_272,5327,5327
PZ-MB-TChIC-K562-H3K4me3-C_191,118396,118396
PZ-MB-TChIC-K562-H3K4me3-C_239,106233,106233
PZ-TChIC-K562-SC-H3K27me3-CT_223,38745,38745
PZ-TChIC-K562-SC-H3K27me3-C_29,25506,25506
PZ-MB-TChIC-K562-H3K4me3-C_197,18660,18660
PZ-TChIC-K562-SC-H3K27me3-CT_199,42437,42437
PZ-TChIC-K562-SC-H3K27me3-C_69,13561,13561
PZ-TChIC-K562-SC-H3K27me3-C_291,23936,23936
PZ-TChIC-K562-SC-H3K27me3-CT_224,48735,48735
PZ-TChIC-K562-SC-H3K27me3-CT_359,31653,31653
PZ-TChIC-K562-SC-H3K27me3-C_43,29214,29214
PZ-TChIC-K562-SC-H3K27me3-C_344,21672,21672
PZ-TChIC-K562-SC-H3K27me3-CT_80,46764,46764
PZ-TChIC-K562-SC-H3K27me3-CT_62,13207,13207
PZ-TChIC-K562-SC-H3K27me3-C_88,17895,17895
PZ-TChIC-K562-SC-H3K27me3-C_194,17710,17710
PZ-TChIC-K562-SC-H3K27me3-C_108,22169,22169
PZ-TChIC-K562-SC-H3K27me3-C_87,32041,32041
PZ-TChIC-K562-SC-H3K27me3-C_234,30120,30120
PZ-TChIC-K562-SC-H3K27me3-CT_380,21981,21981
PZ-TChIC-K562-SC-H3K27me3-CT_17,32808,32808
PZ-MB-TChIC-K562-H3K4me3-C_63,96611,96611
PZ-TChIC-K562-SC-H3K27me3-C_76,40051,40051
PZ-MB-TChIC-K562-H3K4me3-CT_211,5037,5037
PZ-TChIC-K562-SC-H3K27me3-CT_74,18639,18639
PZ-TChIC-K562-SC-H3K27me3-C_91,19667,19667
PZ-TChIC-K562-SC-H3K27me3-CT_242,41728,41728
PZ-TChIC-K562-SC-H3K27me3-C_57,23446,23446
PZ-MB-TChIC-K562-H3K4me3-C_238,120714,120714
PZ-MB-TChIC-K562-H3K4me3-C_82,50160,50160
PZ-TChIC-K562-SC-H3K27me3-CT_140,34390,34390
