	step	PT	UMAP1	UMAP2	lin	RT	lin2	RT_m	step_id
46	46	26.128418909999997	5.017777	6.079577	ect2	Gastd3	Pluripotent Gastd3	79.68	46:ect2
47	47	26.217871730000002	5.0975485	6.1696234	ect2	Gastd3	Pluripotent Gastd3	77.52	47:ect2
48	48	26.288635329999998	5.0213017	6.1234508	ect2	Gastd3	Pluripotent Gastd3	76.32	48:ect2
49	49	26.356933780000006	4.8886485	6.105777	ect2	Gastd3	Pluripotent Gastd3	78.96	49:ect2
50	50	26.4179121	4.838322	6.0697603	ect2	Gastd3	Pluripotent Gastd3	78.24	50:ect2
51	51	26.475446010000006	4.830416	6.245889	ect2	Gastd3	Pluripotent Gastd3	76.8	51:ect2
52	52	26.52702187	4.75881	6.2830215	ect2	Gastd3	Pluripotent Gastd3	76.56	52:ect2
53	53	26.583885649999992	4.702293	6.1427517	ect2	Gastd3	Pluripotent Gastd3	77.76	53:ect2
54	54	26.635905119999993	4.5574284	6.2540307	ect2	Gastd3	Pluripotent Gastd3	79.2	54:ect2
55	55	26.68218225	4.5445232	6.2977233	ect2	Gastd3	Pluripotent Gastd3	78.24	55:ect2
56	56	26.731462739999998	4.414013	6.13193	ect2	Gastd3	Pluripotent Gastd3	80.16	56:ect2
57	57	26.787322439999997	4.3624253	6.182193	ect2	Gastd3	Pluripotent Gastd3	80.88	57:ect2
58	58	26.83784752	4.4219594	6.1228285	ect2	Gastd3	Pluripotent Gastd3	76.8	58:ect2
59	59	26.887685130000005	4.391172	6.133887	ect2	Gastd3	Pluripotent Gastd3	81.6	59:ect2
60	60	26.937468969999994	4.2757607	6.2338214	ect2	Gastd3	Pluripotent Gastd3	78.72	60:ect2
61	61	26.991216209999997	4.169873	6.203882	ect2	Gastd3	Pluripotent Gastd3	80.64	61:ect2
62	62	27.049607779999995	4.0545793	6.1756325	ect2	Gastd3	Pluripotent Gastd3	80.64	62:ect2
63	63	27.117807659999997	4.135271	6.1477427	ect2	Gastd3	Pluripotent Gastd3	80.16	63:ect2
64	64	27.186582330000007	3.9857628	6.1485577	ect2	Gastd3	Pluripotent Gastd3	81.6	64:ect2
65	65	27.26410926	3.9328387	6.2182574	ect2	Gastd3	Pluripotent Gastd3	83.52	65:ect2
66	66	27.345531110000003	3.7296789	6.0358534	ect2	Gastd4	Pluripotent Gastd4	88.32	66:ect2
67	67	27.430333169999997	3.5375178	6.069171	ect2	Gastd4	Pluripotent Gastd4	88.8	67:ect2
68	68	27.54465275	3.4815714	6.025652	ect2	Gastd4	Pluripotent Gastd4	89.28	68:ect2
69	69	27.64310813	3.1994073	5.8629723	ect2	Gastd4	Pluripotent Gastd4	92.4	69:ect2
70	70	27.76900754999999	3.0244071	5.86004	ect2	Gastd4	Pluripotent Gastd4	95.76	70:ect2
71	71	27.885704830000005	3.0458155	5.69601	ect2	Gastd4	Pluripotent Gastd4	96.0	71:ect2
72	72	27.99336014	3.0536315	5.78483	ect2	Gastd4	Pluripotent Gastd4	96.48	72:ect2
73	73	28.09892778	2.8532953	5.7281017	ect2	Gastd4	Pluripotent Gastd4	97.44	73:ect2
74	74	28.180025859999997	2.933839	5.7233567	ect2	Gastd4	Pluripotent Gastd4	99.6	74:ect2
75	75	28.25638639	2.8265145	5.871757	ect2	Gastd4	Pluripotent Gastd4	96.48	75:ect2
76	76	28.32306444	2.7859662	5.8129387	ect2	Gastd4	Pluripotent Gastd4	98.88	76:ect2
77	77	28.386895409999997	2.7763305	5.7932167	ect2	Gastd4	Pluripotent Gastd4	98.4	77:ect2
78	78	28.440290920000002	2.6772602	5.6154237	ect2	Gastd4	Pluripotent Gastd4	97.68	78:ect2
79	79	28.486024929999996	2.6010249	5.5114384	ect2	Gastd4	Pluripotent Gastd4	97.44	79:ect2
80	80	28.529518609999997	2.7104306	5.6905513	ect2	Gastd4	Pluripotent Gastd4	96.72	80:ect2
81	81	28.566168279999992	2.5759394	5.666517	ect2	Gastd4	Pluripotent Gastd4	99.36	81:ect2
