index,trajectories,ect1_ld,ect2_ld,ect3_ld,mes1_ld,mes2_ld,mes3_ld,pluri1_ld,pluri2_ld,endo1_ld
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_281,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_86,End1,,,,,,,,,Endoderm Gastd5
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_291,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_251,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_282,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_257,Mes1,,,,Mesoderm Gastd5,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_59,Mesoderm Progenitors,,,,Mesoderm Gastd5,Mesoderm Gastd5,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_292,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_297,End1,,,,,,,,,Endoderm Gastd5
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_285,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_109,x,,,,,,,Pluripotent Gastd5,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_229,Pluripotent 2,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_254,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_277,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_51,Mesoderm Progenitors,,,,Mesoderm Gastd5,Mesoderm Gastd5,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_367,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_188,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_38,Mes1,,,,Mesoderm Gastd5,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_221,End1,,,,,,,,,Endoderm Gastd5
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_211,End1,,,,,,,,,Endoderm Gastd5
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_354,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_136,End1,,,,,,,,,Endoderm Gastd5
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_293,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_219,x,,,,,,,Pluripotent Gastd5,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_296,x,,,,,,,,Pluripotent Gastd5,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_40,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_216,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_89,Mes1,,,,Mesoderm Gastd5,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_165,x,,,,,,,,Pluripotent Gastd5,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_355,Mes3,,,,,,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_181,End1,,,,,,,,,Endoderm Gastd5
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_304,Mes1,,,,Mesoderm Gastd5,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_129,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_261,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_289,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_306,x,,,,,,,,Pluripotent Gastd5,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_127,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_237,Mesoderm Progenitors,,,,Mesoderm Gastd5,Mesoderm Gastd5,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_13,Mes1,,,,Mesoderm Gastd5,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_202,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_324,Pluripotent 2,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_323,Mes2,,,,,Mesoderm Gastd5,,,,
