index,ect1_ct,ect2_ct,ect3_ct,mes1_ct,mes2_ct,mes3_ct,pluri1_ct,pluri2_ct,endo1_ct
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_221,,,,,,,PGCs,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_277,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_285,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_62,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_109,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_237,,,,Nascent Mesoderm,,Nascent Mesoderm,,,Nascent Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_11,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_257,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_75,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_31,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_129,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_51,,,,Nascent Mesoderm,,Nascent Mesoderm,,,Nascent Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_337,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_9,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_342,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_32,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_45,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_267,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_30,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_155,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_313,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_232,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_230,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_233,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_123,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_140,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_260,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_187,,,,,LP/Intermediate Mesoderm,,,,
