names,names,stat,log2FoldChange,pvals,padj,p_log10
Hmga2,Hmga2,13.42384,0.6296435,4.3839691621440754e-41,5.7692770079288194e-39,38.23887860818577
Dchs1,Dchs1,13.409357,0.7141347,5.329887860620107e-41,6.993036952503096e-39,38.15533417686118
Nfia,Nfia,13.405648,1.7201266,5.603186620134998e-41,7.329605587434677e-39,38.134919394500656
Bcl9l,Bcl9l,13.336756,1.0218484,1.4148403942076832e-40,1.8127798141738384e-38,37.74165494344809
Ptch1,Ptch1,13.325542,0.95677423,1.6443265875904164e-40,2.1006512555091486e-38,37.67764604201555
Cdc42ep4,Cdc42ep4,13.3195,0.8160743,1.7829782709969002e-40,2.271140047758763e-38,37.643756084585405
Kalrn,Kalrn,13.292722,0.754626,2.551266404620796e-40,3.221600592031422e-38,37.491928303590605
Msx1,Msx1,13.272592,1.6849945,3.338305701947818e-40,4.20328283642081e-38,37.376411385591986
Rbfox2,Rbfox2,13.262766,0.6367279,3.805965170703832e-40,4.778345525092561e-38,37.32072244935059
Anxa2,Anxa2,13.215702,2.2223532,7.121831917890866e-40,8.839771543311643e-38,37.05355895882869
Map4k4,Map4k4,13.192656,0.46004874,9.671752519731449e-40,1.197078015126308e-37,36.921877545136795
Zc3hav1,Zc3hav1,13.174658,1.2713137,1.227824270277857e-39,1.5153918133533855e-37,36.81947506328235
Lamb2,Lamb2,13.107921,1.2796835,2.966214207061911e-39,3.6099405270401658e-37,36.44249995293951
Zfp608,Zfp608,13.094538,0.7586646,3.5382221890318936e-39,4.294124046138679e-37,36.3671254140741
Igdcc4,Igdcc4,13.071152,1.1733519,4.8131357103882693e-39,5.793132570869804e-37,36.237086532930526
Atp2b4,Atp2b4,13.061653,1.3214167,5.453059633722388e-39,6.527387081012736e-37,36.18526063241459
Capn5,Capn5,12.967188,2.4779391,1.877944690498983e-38,2.2235577634848526e-36,35.65295158398573
Slc25a4,Slc25a4,12.923375,0.4472871,3.3224325908525726e-38,3.9126793080037666e-36,35.40752574639317
Hdac4,Hdac4,12.915493,0.98301154,3.680810187991694e-38,4.3114819818644795e-36,35.365373424521756
Nisch,Nisch,12.888898,0.44648516,5.198125025407847e-38,6.072494130617493e-36,35.21663289629091
Trip12,Trip12,12.86563,0.35555407,7.026665969251441e-38,8.164948480387358e-36,35.08804655125237
Mpdz,Mpdz,12.861264,0.6840811,7.435019523038062e-38,8.616536816473632e-36,35.064667252006984
Loxl1,Loxl1,12.857312,3.3137004,7.82500863974375e-38,9.044509324842439e-36,35.04361498914619
Rbm20,Rbm20,12.841642,2.6553206,9.581978936899698e-38,1.1046074979738383e-35,34.95679201315144
Hook3,Hook3,12.827319,0.58443373,1.1528418634320902e-37,1.32201611168534e-35,34.87876325198094
Nol4l,Nol4l,12.788617,1.0845393,1.8982087270717802e-37,2.1653952348431631e-35,34.66446282326184
Calcoco1,Calcoco1,12.784974,1.5886871,1.9892994521272974e-37,2.263397978200358e-35,34.64523907638551
4930402H24Rik,4930402H24Rik,12.773813,1.3046855,2.2962334695595315e-37,2.599086438303769e-35,34.585179276846
Mmp14,Mmp14,12.742939,1.7134932,3.4129292562990237e-37,3.843151859200016e-35,34.41531245438302
Tgfbr3,Tgfbr3,12.679497,1.1964717,7.682359194650403e-37,8.606409117268481e-35,34.065178012988646
Clic1,Clic1,12.6751375,0.677756,8.121575417410891e-37,9.052034478624981e-35,34.04325380051403
Hspg2,Hspg2,12.668008,0.5819596,8.894433298377503e-37,9.888210820341258e-35,34.004882282836284
Atf6,Atf6,12.66646,1.0796094,9.071709449129728e-37,1.005969689192708e-34,33.997415104781744
Klf3,Klf3,12.6567955,1.1414238,1.0260320256217642e-36,1.1348953223149493e-34,33.9450441940105
Pmp22,Pmp22,12.64831,2.0122702,1.1430818468294654e-36,1.261171438631974e-34,33.89922587314851
Ccdc80,Ccdc80,12.633405,3.719226,1.381681988880935e-36,1.5205810522971518e-34,33.817990425485505
Rhoc,Rhoc,12.629179,1.5923185,1.4579102470964164e-36,1.600441120750993e-34,33.79576029865406
Gm37899,Gm37899,12.627508,1.1733636,1.4891947865823817e-36,1.6306869528965121e-34,33.78762940356951
Snai2,Snai2,12.604411,2.4266987,1.9965894808266562e-36,2.1808247751699358e-34,33.66137922769682
Spon1,Spon1,12.602889,3.049663,2.035506902242322e-36,2.2177888295728003e-34,33.654079808284834
Amer1,Amer1,12.583339,0.87939364,2.6077148194634126e-36,2.834170850178506e-34,33.54757397305353
Kifc3,Kifc3,12.543836,2.2193785,4.296810946117632e-36,4.635357211032727e-34,33.33391679252213
Ctnna1,Ctnna1,12.541798,0.49002236,4.408788918234682e-36,4.744443266664815e-34,33.323814742225295
Adamts2,Adamts2,12.522952,4.126145,5.591614520176186e-36,5.973184107604345e-34,33.223794099067696
Tceal9,Tceal9,12.513202,0.7873921,6.322324527741644e-36,6.704579634503887e-34,33.17362844646837
S100a10,S100a10,12.472009,1.4105022,1.0611650932608265e-35,1.1118312731333037e-33,32.95396111446888
Bex3,Bex3,12.464368,0.6965969,1.1679487910507695e-35,1.2207859002344298e-33,32.91336049535065
